coefficient,dataset,method,accuracy,perplexity,steer.top_k
0.5,liarbench,FLAS,66.00,3.7057,
1.0,liarbench,FLAS,88.00,7.1500,
1.0,liarbench_no_sys,FLAS,5.00,3.8814,
2.0,liarbench,FLAS,80.00,11.5702,
2.0,liarbench_no_sys,FLAS,26.00,21.6473,
3.0,liarbench,FLAS,92.00,12.4561,
3.0,liarbench_no_sys,FLAS,30.00,14.7247,
5.0,liarbench_no_sys,FLAS,50.00,6.7286,
1.0,hallucination_ab,FLAS,60.00,272.0563,
0.5,Refusal_open,FLAS,96.00,1.5530,
0.75,Refusal_open,FLAS,100.00,1.8926,
0.75,ifeval,FLAS,20.00,4.0331,
1.0,Refusal_open,FLAS,100.00,2.5912,
1.0,truthfulqa,FLAS,65.36,19.5923,
2.0,truthfulqa,FLAS,52.75,286.5138,
3.0,truthfulqa,FLAS,48.35,446.4985,
10.0,liarbench_no_sys,ACT,67.00,3.4537,
1.0,liarbench_no_sys,ACT,11.00,1.3376,
2.0,liarbench_no_sys,ACT,10.00,1.3480,
3.0,liarbench_no_sys,ACT,11.00,1.4395,
5.0,liarbench_no_sys,ACT,28.00,1.9301,
7.0,liarbench_no_sys,ACT,55.00,3.9556,
1.0,Refusal_open,ACT,86.00,2.6267,
0.3,Refusal_open,MANIFOLD,84.00,1.4322,
1.0,mmlu,ANGULAR,54.39,,
2.0,mmlu,ANGULAR,54.21,,
3.0,mmlu,ANGULAR,53.68,,
4.0,mmlu,ANGULAR,54.21,,
2.0,mmlu,CAA,54.04,,
3.0,mmlu,CAA,52.63,,
4.0,mmlu,CAA,52.63,,
1.0,mmlu,CAST,54.21,,
2.0,mmlu,CAST,54.21,,
3.0,mmlu,CAST,54.21,,
4.0,mmlu,CAST,54.21,,
1.0,mmlu,CORRSTEER,54.91,,
2.0,mmlu,CORRSTEER,56.14,,
3.0,mmlu,CORRSTEER,58.60,,
4.0,mmlu,CORRSTEER,58.95,,
1.0,mmlu,CURVEBALL,54.56,,
2.0,mmlu,CURVEBALL,54.91,,
3.0,mmlu,CURVEBALL,55.26,,
4.0,mmlu,CURVEBALL,55.44,,
1.0,mmlu,FGAA,57.54,,
2.0,mmlu,FGAA,60.00,,
3.0,mmlu,FGAA,53.86,,
4.0,mmlu,FGAA,52.46,,
1.0,mmlu,FLAS,54.21,,
2.0,mmlu,FLAS,54.04,,
3.0,mmlu,FLAS,53.16,,
4.0,mmlu,FLAS,46.67,,
1.0,mmlu,ACT,54.39,,
2.0,mmlu,ACT,52.28,,
3.0,mmlu,ACT,52.46,,
4.0,mmlu,ACT,52.28,,
1.0,mmlu,MANIFOLD,54.39,,
2.0,mmlu,MANIFOLD,54.21,,
3.0,mmlu,MANIFOLD,54.21,,
4.0,mmlu,MANIFOLD,54.39,,
1.0,mmlu,REPS,53.16,,
2.0,mmlu,REPS,50.70,,
3.0,mmlu,REPS,52.46,,
4.0,mmlu,REPS,52.46,,
1.0,mmlu,SAE-COT,54.21,,top5
2.0,mmlu,SAE-COT,54.04,,top5
3.0,mmlu,SAE-COT,53.86,,top5
4.0,mmlu,SAE-COT,53.33,,top5
1.0,mmlu,SAE-FREE,54.21,,
2.0,mmlu,SAE-FREE,54.21,,
3.0,mmlu,SAE-FREE,54.21,,
4.0,mmlu,SAE-FREE,54.21,,
1.0,mmlu,SAS,54.39,,15
2.0,mmlu,SAS,54.39,,15
3.0,mmlu,SAS,54.56,,15
4.0,mmlu,SAS,54.39,,15
1.0,mmlu,SPARE,54.21,,15
2.0,mmlu,SPARE,54.21,,15
3.0,mmlu,SPARE,54.21,,15
4.0,mmlu,SPARE,54.21,,15
1.0,mmlu,SPHERICAL,54.21,,
2.0,mmlu,SPHERICAL,54.21,,
3.0,mmlu,SPHERICAL,54.04,,
4.0,mmlu,SPHERICAL,54.04,,
1.0,mmlu,SRPS,54.21,,top5
2.0,mmlu,SRPS,54.04,,top5
3.0,mmlu,SRPS,53.33,,top5
4.0,mmlu,SRPS,52.98,,top5
1.0,mmlu,WEIGHTSTEER,52.81,nan,
2.0,mmlu,WEIGHTSTEER,53.68,,
3.0,mmlu,WEIGHTSTEER,53.33,,
4.0,mmlu,WEIGHTSTEER,55.09,,
0.5,mmlu,WEIGHTSTEER,54.74,,
10.0,hallucination_ab,REPS,84.00,6977.6472,
20.0,hallucination_ab,REPS,82.00,6771.3481,
5.0,hallucination_ab,REPS,94.00,7122.9058,
7.0,hallucination_ab,REPS,90.00,6903.4659,
3.0,Refusal_open,REPS,100.00,2.5511,
10.0,liarbench_no_sys,REPS,3.00,1.1677,
1.0,liarbench,REPS,38.00,1.3456,
1.0,liarbench_no_sys,REPS,6.00,1.2080,
20.0,liarbench_no_sys,REPS,6.00,1.2056,
2.0,liarbench,REPS,44.00,4.3381,
2.0,liarbench_no_sys,REPS,7.00,1.2075,
3.0,liarbench,REPS,42.00,5.1581,
3.0,liarbench_no_sys,REPS,5.00,1.1808,
5.0,liarbench_no_sys,REPS,2.00,1.1914,
7.0,liarbench_no_sys,REPS,5.00,1.1830,
1.0,liarbench,SAE-COT,36.00,1.2666,top5
2.0,liarbench,SAE-COT,39.00,1.2791,top5
3.0,liarbench,SAE-COT,34.00,1.2756,top5
5.0,liarbench,SAE-COT,35.00,1.2612,top5
7.0,liarbench,SAE-COT,39.00,1.3085,top5
1.0,hallucination_ab,SAE-COT,58.00,,top5
2.0,hallucination_ab,SAE-COT,56.00,,top5
3.0,hallucination_ab,SAE-COT,54.00,,top5
5.0,hallucination_ab,SAE-COT,52.00,,top5
7.0,hallucination_ab,SAE-COT,56.00,,top5
1.0,ifeval,SAE-COT,32.00,1.7288,top5
2.0,ifeval,SAE-COT,29.00,1.7947,top5
3.0,ifeval,SAE-COT,29.00,1.9819,top5
5.0,ifeval,SAE-COT,26.00,2.8820,top5
7.0,ifeval,SAE-COT,20.00,5.4040,top5
7.0,SorryBench,SAE-COT,89.09,2.5106,top5
1.0,truthfulqa,SAE-COT,70.87,,top5
2.0,truthfulqa,SAE-COT,70.62,,top5
3.0,truthfulqa,SAE-COT,70.99,,top5
5.0,truthfulqa,SAE-COT,70.87,,top5
7.0,truthfulqa,SAE-COT,64.01,,top5
0.3,Refusal_open,SAEIO,86.00,1.4216,0
0.5,Refusal_open,SAEIO,84.00,1.4261,0
1.0,Refusal_open,SAEIO,84.00,1.4861,0
2.0,Refusal_open,SAEIO,84.00,1.6114,0
0.3,liarbench,SAEIO,32.00,1.2714,top5
0.5,liarbench,SAEIO,39.00,1.3111,top5
1.0,liarbench,SAEIO,34.00,1.6513,top5
2.0,liarbench,SAEIO,76.00,1002.7377,top5
0.3,hallucination_ab,SAEIO,56.00,,top5
0.5,hallucination_ab,SAEIO,56.00,,top5
1.0,hallucination_ab,SAEIO,56.00,,top5
2.0,hallucination_ab,SAEIO,68.00,,top5
0.3,ifeval,SAEIO,31.00,1.8271,top5
0.5,ifeval,SAEIO,32.00,1.8940,top5
1.0,ifeval,SAEIO,30.00,3.3366,top5
2.0,ifeval,SAEIO,18.00,1669.6772,top5
2.0,SorryBench,SAEIO,20.45,338.4326,top5
0.3,truthfulqa,SAEIO,71.48,,
0.5,truthfulqa,SAEIO,70.75,,
1.0,truthfulqa,SAEIO,53.12,,
2.0,truthfulqa,SAEIO,48.71,,
5.0,ifeval,SPARE,29.00,2.0685,top5
7.0,ifeval,SPARE,21.00,3.9537,top5
10.0,SorryBench,SPARE,91.59,1.6210,top5
1.0,SorryBench,SPARE,90.68,1.4881,top5
2.0,SorryBench,SPARE,90.45,1.4865,top5
3.0,SorryBench,SPARE,90.91,1.4902,top5
5.0,SorryBench,SPARE,90.68,1.5037,top5
7.0,SorryBench,SPARE,90.45,1.5271,top5
0.1,liarbench_no_sys,SPHERICAL,3.00,1.1967,
0.3,liarbench_no_sys,SPHERICAL,3.00,1.4312,
0.5,liarbench_no_sys,SPHERICAL,17.00,2.4979,
1.0,liarbench_no_sys,SPHERICAL,84.00,9.9197,
2.0,liarbench_no_sys,SPHERICAL,69.00,53.2303,
10.0,truthfulqa,SRPS,68.67,,
1.0,truthfulqa,SRPS,70.62,,
2.0,truthfulqa,SRPS,70.50,,
3.0,truthfulqa,SRPS,70.62,,
5.0,truthfulqa,SRPS,70.50,,
7.0,truthfulqa,SRPS,69.77,,
1.0,liarbench_no_sys,WEIGHTSTEER,8.00,1.4163,
2.0,liarbench_no_sys,WEIGHTSTEER,11.00,1.6799,
3.0,liarbench_no_sys,WEIGHTSTEER,72.00,14.0488,
5.0,liarbench_no_sys,WEIGHTSTEER,12.00,1.5817,
10.0,Refusal_open,WEIGHTSTEER,90.00,1.7541,
1.0,Refusal_open,WEIGHTSTEER,96.00,2.2341,
2.0,Refusal_open,WEIGHTSTEER,96.00,2.2684,
3.0,Refusal_open,WEIGHTSTEER,100.00,6.2047,
5.0,Refusal_open,WEIGHTSTEER,86.00,6.9766,
1.0,ifeval,WEIGHTSTEER,16.00,5.0871,
1.0,SorryBench,WEIGHTSTEER,99.77,2.6487,
2.0,SorryBench,WEIGHTSTEER,99.77,3.0270,
3.0,SorryBench,WEIGHTSTEER,91.59,6.4497,
5.0,SorryBench,WEIGHTSTEER,92.95,6.3151,
1.0,hallucination_ab,FLOW,60.00,2.2778,
1.0,truthfulqa,FLOW,69.16,1.9254,
1.0,ifeval,Finetune,26.00,1.6705,
1.0,ifeval,REPS,35.00,1.9358,
2.0,truthfulqa,REPS,46.88,1200.1284,
1.0,Refusal_open,SAE-COT,84.00,1.4405,top5
1.0,Refusal_open,SAE-FREE,84.00,1.4250,
1.0,ifeval,FLOW,29.67,1.7167,
